Gene	logFC	logCPM	PValue	FDR		Gene	B56	B57	B58	Y59	Y60	Y61	Y62		Comparison	of	groups:	Yaa-B6
Cdkn2a	1.35E+00	-0.23031885	7.46E-04	4.03E-03		Cdkn2a	0.377883392	0.615548522	0.388308371	1.281854856	0.773394879	1.00107442	1.53210632					
Lrp5	-4.75E-01	4.029647896	7.47E-04	4.03E-03		Lrp5	16.50090812	20.86709489	22.00414105	15.26017686	12.86647844	14.14851847	12.78975711					
Pmvk	4.14E-01	4.564191719	7.47E-04	4.03E-03		Pmvk	22.92492578	20.06688181	17.6680309	25.51501571	27.49067251	24.02578608	27.77775372					
Dnahc8	-3.03E-01	6.051923767	7.55E-04	4.06E-03		Dnahc8	73.68726144	70.17253148	83.61573599	67.87726667	54.77041914	59.9309886	54.75614763					
Ruvbl1	2.87E-01	5.681880165	7.55E-04	4.06E-03		Ruvbl1	43.9604346	47.27412647	48.02080194	54.32622962	55.75473989	52.32282301	57.55390699					
Psma1	2.49E-01	6.650850572	7.55E-04	4.06E-03		Psma1	92.70739217	89.1929808	95.00611489	103.5250398	110.4548504	100.7748249	111.3774682					
Acap2	-2.26E-01	7.183572907	7.56E-04	4.07E-03		Acap2	167.213401	160.8428287	155.4527847	137.0363882	134.9925606	132.4087766	130.4288772					
Plekha7	-6.21E-01	2.565923672	7.56E-04	4.07E-03		Plekha7	7.305745578	8.186795339	6.989550686	4.51701235	4.851295148	5.138848688	4.463092325					
Relt	-3.04E-01	5.720622712	7.58E-04	4.07E-03		Relt	53.09261657	65.74058212	61.61159494	47.55071109	43.73196496	49.05264657	48.69433566					
1700021K19Rik	2.64E-01	7.965371596	7.62E-04	4.09E-03		1700021K19Rik	258.0313762	219.1968286	206.1917453	253.3189359	261.5480862	268.9553275	280.0423901					
Pgm2l1	-3.43E-01	5.189396365	7.64E-04	4.10E-03		Pgm2l1	40.81140633	39.57976995	46.33813233	35.22048819	32.83412803	31.36699849	29.5097					
Dennd1c	-2.30E-01	8.069073377	7.68E-04	4.12E-03		Dennd1c	307.9119839	300.7570077	286.5715781	255.8216049	231.7372291	247.1986434	251.5985031					
Arhgef1	-2.31E-01	10.26405771	7.73E-04	4.15E-03		Arhgef1	1458.189029	1373.227197	1268.60345	1197.252436	1077.479683	1139.689858	1102.117351					
H2-Q1	1.29E+00	-0.093305459	7.75E-04	4.16E-03		H2-Q1	0.314902827	0.738658226	0.517744495	1.098732734	1.124938005	1.534980777	1.265653047					
Cybasc3	-2.58E-01	8.400783011	7.75E-04	4.16E-03		Cybasc3	423.6072824	373.6995076	340.3522876	320.7689176	292.8354245	320.6775058	296.0961998					
Arhgap4	-2.37E-01	9.122715718	7.78E-04	4.17E-03		Arhgap4	674.773777	596.2202982	591.9113942	522.3863742	485.1295148	544.5844844	490.8735424					
Notch4	-6.87E-01	2.187008811	7.78E-04	4.17E-03		Notch4	6.864881621	5.539936696	5.242163015	3.113076079	3.374814016	4.004297679	3.730345824					
0610010O12Rik	-1.17E+00	0.218782161	7.85E-04	4.20E-03		0610010O12Rik	0.881727915	1.908200417	2.394568291	1.037692026	0.562469003	0.467168063	0.865973138					
Dnajc9	2.38E-01	6.860312232	7.87E-04	4.22E-03		Dnajc9	112.3573286	104.2739196	104.9079784	117.3202397	125.8524394	122.1310792	125.9657849					
Prmt1	2.51E-01	6.500450009	7.88E-04	4.22E-03		Prmt1	83.3862685	85.56124452	80.25039677	94.12477087	97.65868059	90.09669778	102.3180569					
Gfpt1	2.49E-01	6.601945233	7.91E-04	4.23E-03		Gfpt1	85.96847168	89.74697447	92.02908404	103.5860805	109.96269	95.90292942	102.4512835					
Tnfrsf9	6.39E-01	3.205568599	7.91E-04	4.23E-03		Tnfrsf9	8.50237632	5.909265809	7.054268748	12.87958927	9.421355795	8.942931484	11.72394402					
Eif3h	2.27E-01	8.054272573	7.96E-04	4.25E-03		Eif3h	240.7117207	244.003434	254.8597278	284.0224117	276.7347493	269.756187	289.1018013					
Stk10	-2.52E-01	8.518653638	7.97E-04	4.26E-03		Stk10	421.8438266	418.3883302	392.9680719	372.836641	312.5218396	347.7065151	303.690118					
Ptbp1	2.21E-01	8.444950646	8.01E-04	4.28E-03		Ptbp1	321.515786	322.0549866	327.9264197	364.1078199	371.0889245	351.2436448	379.4960742					
Npnt	1.20E+00	0.285670006	8.04E-04	4.29E-03		Npnt	0.692786219	1.046432487	0.388308371	1.403936271	2.179567385	0.934336125	1.93178623					
Pkib	4.02E-01	4.701421861	8.06E-04	4.30E-03		Pkib	25.12924557	22.71374045	19.28598245	30.3982723	27.209438	27.62965399	29.5097					
Arid4a	-2.29E-01	7.375651226	8.08E-04	4.31E-03		Arid4a	182.7696006	182.2639173	188.3295602	158.0343916	143.1483612	160.1719072	148.7475397					
Styk1	-8.68E-01	1.391428359	8.08E-04	4.31E-03		Styk1	3.589892224	2.400639235	4.789136581	1.709139808	1.828024259	2.00214884	2.065012867					
Pak6	8.85E-01	1.358110419	8.12E-04	4.33E-03		Pak6	1.826436395	1.354206748	2.135696043	3.235157494	2.531110512	3.87082109	2.997599323					
Rab19	4.38E-01	4.165738951	8.12E-04	4.33E-03		Rab19	15.99706359	15.26560334	14.30269168	19.04470072	19.26456334	22.02363724	19.65092889					
Zfp192	-2.55E-01	6.321215429	8.13E-04	4.33E-03		Zfp192	88.29875259	95.84090484	84.52178886	74.59174449	69.88677358	72.47778799	74.47368984					
Stip1	2.64E-01	7.002789594	8.20E-04	4.36E-03		Stip1	118.2775017	105.6896812	127.3004278	130.3219104	144.2732992	125.2010408	146.083007					
Mpp5	-3.42E-01	4.937064332	8.20E-04	4.36E-03		Mpp5	33.25373849	36.07114337	36.88929529	27.83456259	27.56098113	26.56184127	26.44548736					
Adprh	2.66E-01	6.045578444	8.22E-04	4.37E-03		Adprh	60.96518724	60.26220028	59.41118083	66.71749323	72.4178841	69.9417328	72.47529029					
Ceacam2	-7.89E-01	1.601930619	8.29E-04	4.40E-03		Ceacam2	4.282678443	4.739723617	3.106466972	2.685791127	2.179567385	2.068887134	2.131626185					
Pmf1	3.64E-01	5.024249013	8.32E-04	4.42E-03		Pmf1	29.53788514	28.37678685	27.31102213	30.64243513	37.05264555	34.37022175	40.4342842					
Eif3d	2.27E-01	7.435936109	8.36E-04	4.44E-03		Eif3d	157.0735299	155.733776	168.9141416	179.5817613	185.0523019	178.0577701	186.9169711					
Dnahc2	-6.34E-01	2.659461185	8.38E-04	4.45E-03		Dnahc2	6.927862186	8.863898713	8.348629987	5.676785792	5.765307278	4.404727447	4.26325237					
Trio	-2.72E-01	5.865776875	8.46E-04	4.49E-03		Trio	66.44449642	66.72545976	64.13559935	56.03536943	49.49727224	52.05586983	53.49049458					
Gorasp2	2.44E-01	6.825510337	8.46E-04	4.49E-03		Gorasp2	110.9717561	104.3970293	97.72427349	119.334583	122.8994771	122.2645558	115.7073339					
Psmd7	2.82E-01	6.214320428	8.48E-04	4.50E-03		Psmd7	63.86229325	63.64771715	74.23161701	71.72283124	81.34707951	78.81792599	85.93118058					
Obfc2a	-3.23E-01	5.864334526	8.52E-04	4.51E-03		Obfc2a	62.35075968	68.44899562	70.3485333	60.79654461	45.41937197	55.12583138	45.63012302					
Lars	2.29E-01	6.915019127	8.67E-04	4.59E-03		Lars	112.1683869	110.6756242	112.4799916	122.9359848	128.3835499	127.4034045	130.2290372					
Cep192	2.26E-01	7.100278733	8.67E-04	4.59E-03		Cep192	127.0947808	128.0956474	126.2649388	138.0740802	151.5853962	140.0169422	148.8807664					
Ube2z	2.34E-01	6.767171736	8.71E-04	4.61E-03		Ube2z	103.60303	99.34953141	99.08335279	113.1084309	112.7047264	114.9233434	119.1712264					
Eif6	2.71E-01	6.23343983	8.73E-04	4.62E-03		Eif6	73.87620313	65.98680153	65.42996059	76.361925	80.78461051	77.08273033	86.79715372					
D0H4S114	1.22E+00	0.071827705	8.78E-04	4.64E-03		D0H4S114	0.503844523	0.738658226	0.582462557	1.403936271	2.10925876	1.334765893	0.732746501					
Ptpdc1	-4.80E-01	3.744963205	8.83E-04	4.67E-03		Ptpdc1	15.93408303	17.29691346	15.4676168	11.475653	11.67123181	11.87941645	10.1918377					
Bckdk	3.02E-01	5.699191095	8.84E-04	4.67E-03		Bckdk	46.41667665	45.55059061	47.82664775	50.78586859	64.26208356	53.19042084	55.62212076					
D10Wsu52e	2.29E-01	7.540028359	8.84E-04	4.67E-03		D10Wsu52e	172.9446324	168.2909658	175.7095381	187.7001754	198.3406321	188.6024207	210.2982458					
Fam65b	-2.31E-01	9.179524011	8.94E-04	4.72E-03		Fam65b	640.2604272	666.7006039	625.8883767	554.0665014	525.9788261	570.0785129	480.5484781					
Raf1	2.29E-01	7.574255815	9.05E-04	4.78E-03		Raf1	173.7633797	178.2628519	178.0393883	208.8202601	191.591004	193.1406247	209.299046					
Ahrr	-1.05E+00	0.383004387	9.05E-04	4.78E-03		Ahrr	1.700475264	2.031310122	1.876823795	1.159773441	0.843703504	1.00107442	0.466293228					
Tanc2	-6.10E-01	2.63281305	9.07E-04	4.78E-03		Tanc2	6.801901056	8.987008418	7.701449367	4.944297302	4.851295148	5.339063572	4.796158916					
Acrbp	-4.20E-01	4.27985856	9.08E-04	4.78E-03		Acrbp	20.3427226	23.02151471	25.88722476	17.2745202	16.52252695	17.28521832	15.78735643					
Cd300e	-4.54E-01	4.8496846	9.08E-04	4.78E-03		Cd300e	27.01866253	38.04089864	38.96027327	25.88125995	27.13912938	26.49510298	18.71834244					
Eef2	2.08E-01	11.86505593	9.10E-04	4.79E-03		Eef2	3568.982676	3465.845952	3420.73788	3896.106274	3857.342112	3800.745881	4076.801692					
Hlx	-6.84E-01	2.340912723	9.12E-04	4.80E-03		Hlx	6.235075968	5.416826991	8.089757739	4.944297302	3.304505391	3.537129617	3.930185779					
Umps	3.65E-01	5.303264458	9.23E-04	4.86E-03		Umps	30.86047701	32.19318769	40.51350676	38.76084922	44.64597709	40.77709803	48.56110903					
Gnb4	6.05E-01	3.171629134	9.27E-04	4.87E-03		Gnb4	6.424017664	7.755911374	6.989550686	8.972983993	12.02277493	8.409025126	12.52330384					
Notch2	-2.48E-01	8.78500563	9.29E-04	4.88E-03		Notch2	474.9364432	492.4388174	514.1850019	431.4357202	368.7687399	440.2057915	369.5040765					
Rgag4	-4.94E-01	3.567656399	9.33E-04	4.90E-03		Rgag4	14.67447172	14.0345063	14.62628199	10.56004239	8.858886792	9.276622957	10.99119752					
Gria3	-6.59E-01	2.438804004	9.34E-04	4.91E-03		Gria3	6.61295936	8.002130783	6.212933944	4.272849521	5.2731469	4.137774269	3.463892551					
Nup37	5.12E-01	3.736531943	9.39E-04	4.93E-03		Nup37	9.321123669	11.01831854	12.42586789	14.71081049	17.36623046	13.48113552	14.98799661					
Emp1	7.47E-01	1.752482326	9.40E-04	4.93E-03		Emp1	2.078358656	3.016187757	2.329850229	4.028686691	4.359134771	3.937559385	3.86357246					
Klc3	9.29E-01	1.060507272	9.52E-04	5.00E-03		Klc3	1.322591872	1.661981009	1.229643176	3.113076079	2.531110512	2.803008375	1.93178623					
Psd3	-4.12E-01	4.355871644	9.57E-04	5.02E-03		Psd3	26.76674027	24.68349572	21.22752431	18.0680494	17.57715633	18.61998421	16.45348962					
Tk2	-2.43E-01	6.693018854	9.57E-04	5.02E-03		Tk2	118.08856	117.015774	111.1209123	93.33124167	88.72948517	100.5078717	95.98979164					
Clec4b1	-9.15E-01	1.08348912	9.60E-04	5.03E-03		Clec4b1	2.645183744	2.769968348	3.365339219	1.037692026	2.249876011	1.735195661	1.065813092					
Nlrc3	-2.71E-01	6.07827572	9.62E-04	5.04E-03		Nlrc3	75.82860066	79.59042386	73.0666919	62.68880654	55.47350539	62.33356721	64.28185214					
Clasp2	2.47E-01	6.467607479	9.62E-04	5.04E-03		Clasp2	81.11896815	80.5753015	82.19193863	86.86092668	97.23682884	91.43146368	99.8533641					
Tmem80	-3.25E-01	5.128814722	9.64E-04	5.05E-03		Tmem80	39.80371729	39.82598936	40.90181513	29.60474311	30.72486927	32.70176438	31.57471286					
Gmds	5.39E-01	3.224632978	9.68E-04	5.06E-03		Gmds	8.250454058	7.078808	7.377859058	10.80420522	10.75721968	11.2787718	9.858771106					
Pcbp1	2.24E-01	7.792542197	9.72E-04	5.08E-03		Pcbp1	204.875779	197.5295206	214.7345294	223.4700299	240.1742641	233.2503398	236.8769598					
Sun2	-2.24E-01	8.624874371	9.73E-04	5.08E-03		Sun2	451.0038283	443.1949357	418.4022703	376.4380428	348.0276954	375.4696457	353.5168801					
Acad12	-6.97E-01	2.078904884	9.75E-04	5.09E-03		Acad12	4.471620139	6.463259478	5.501035262	3.235157494	3.093579515	3.003223259	3.796959142					
Flot1	-3.75E-01	5.229825091	9.76E-04	5.10E-03		Flot1	34.13546641	48.93610748	48.66798256	34.30487758	33.25597978	31.1667836	32.64052596					
Rcan3	-3.77E-01	4.576718099	9.80E-04	5.11E-03		Rcan3	25.44414839	28.74611597	29.57615429	20.69279982	20.60042722	22.02363724	20.11722212					
Ndufb8	3.06E-01	5.395201896	9.80E-04	5.11E-03		Ndufb8	35.64699998	38.90266657	38.63668296	42.60641379	45.63029784	45.91594672	47.16222934					
Acvr1b	-2.80E-01	5.851324051	9.82E-04	5.12E-03		Acvr1b	64.99594342	69.00298929	61.74103106	54.75351457	55.47350539	49.65329122	48.8275623					
Crmp1	7.80E-01	1.800432047	9.83E-04	5.12E-03		Crmp1	2.582203179	2.215974678	2.782876662	3.967645983	3.304505391	4.337989152	5.195838826					
Tlr4	-4.09E-01	4.656962012	9.96E-04	5.19E-03		Tlr4	24.05857596	33.91672355	31.58241421	22.82922458	22.92061186	21.35625429	20.18383544					
Edaradd	-3.27E-01	5.573068442	9.96E-04	5.19E-03		Edaradd	62.8546042	54.66070873	46.53228651	43.70514653	42.60702695	42.97946176	40.1012176					
Npm1	2.27E-01	9.333050874	9.98E-04	5.20E-03		Npm1	554.9217611	595.7278594	642.3914825	653.5628545	709.4140296	642.8232541	712.4960523					
4833439L19Rik	2.65E-01	5.971252548	1.00E-03	5.21E-03		4833439L19Rik	56.24164484	59.58509691	55.78696937	66.10708615	70.44924259	62.73399697	68.07881128					
Zcchc24	-3.40E-01	5.031051434	1.00E-03	5.21E-03		Zcchc24	36.46574733	40.9339767	35.78908824	29.17745816	29.81085714	30.36592407	26.51210068					
Ttc14	-2.15E-01	8.173122549	1.00E-03	5.23E-03		Ttc14	326.6801924	318.4232503	311.3585959	274.5611021	263.094876	264.6173383	263.5889004					
Pnpla7	-2.33E-01	6.978394893	1.01E-03	5.24E-03		Pnpla7	131.3144787	150.0707296	139.3379873	122.264537	111.0173194	115.4572498	113.9753876					
BC016495	-3.84E-01	4.777491148	1.01E-03	5.24E-03		BC016495	29.60086571	35.08626574	31.64713227	21.24216619	24.04554986	26.89553275	23.71434131					
Prss30	-7.48E-01	2.464382964	1.01E-03	5.24E-03		Prss30	5.605270314	8.309905044	8.025039677	5.798867207	3.16388814	4.805157215	2.930986004					
Lmo4	3.00E-01	5.69063833	1.02E-03	5.28E-03		Lmo4	47.73926852	48.62833322	42.90807505	59.39260834	58.42646765	49.78676781	54.35646772					
Dbn1	-8.02E-01	1.397016805	1.02E-03	5.31E-03		Dbn1	3.212008832	3.816400835	3.559493405	2.502669005	1.968641509	1.334765893	1.998399548					
Ifi203	2.90E-01	8.371431214	1.03E-03	5.34E-03		Ifi203	283.2236023	307.1587124	308.8993095	407.9350478	308.7954825	382.2769518	316.6797151					
BC004004	2.69E-01	5.901553031	1.03E-03	5.36E-03		BC004004	53.53348053	55.27625725	54.42789007	59.75885258	68.19936658	65.73722023	61.41747945					
Rnf13	-2.48E-01	6.308926985	1.04E-03	5.37E-03		Rnf13	86.40933563	90.73185211	88.46959063	69.95265072	73.68343935	76.74903885	69.47769097					
Gtf2i	-2.16E-01	7.614934596	1.04E-03	5.37E-03		Gtf2i	215.5824751	215.0110986	219.3942299	187.8222568	179.6385377	181.5948998	174.3936673					
Tmco4	3.08E-01	5.521084335	1.04E-03	5.38E-03		Tmco4	45.03110421	40.74931214	37.66591203	51.94564203	48.79418598	46.31637649	50.62612189					
Sod1	2.29E-01	6.976230735	1.04E-03	5.38E-03		Sod1	109.8381059	116.1540061	123.9998066	128.734852	135.0628693	131.8748702	135.2916494					
Ecm1	-4.31E-01	4.234874382	1.04E-03	5.40E-03		Ecm1	20.3427226	23.20617927	23.88096485	17.39660162	14.27265094	14.54894823	18.25204921					
Brca2	3.74E-01	4.912769746	1.04E-03	5.40E-03		Brca2	21.53935334	27.51501892	29.64087236	31.00867938	34.09968329	32.70176438	34.30585891					
Numa1	-2.11E-01	8.872077003	1.05E-03	5.42E-03		Numa1	519.2117806	515.5834418	516.9678785	456.4013695	414.6802722	435.1336811	425.1261973					
8430419L09Rik	-4.13E-01	5.192867365	1.05E-03	5.42E-03		8430419L09Rik	34.63931093	40.31842817	55.13978875	28.38392896	35.15431267	32.10111973	30.90857968					
Trim47	-8.14E-01	1.728223811	1.06E-03	5.47E-03		Trim47	2.771144875	5.047497878	5.565753324	2.441628297	2.249876011	2.803008375	2.33146614					
Lyz1	4.19E-01	5.269407477	1.06E-03	5.47E-03		Lyz1	29.34894344	31.33141976	38.37781071	51.03003142	46.82554447	39.17537896	33.57311241					
Zfp715	-2.70E-01	5.742906999	1.06E-03	5.47E-03		Zfp715	58.19404237	61.73951673	61.09385044	49.87025798	47.66924798	50.25393587	46.2962562					
Fcnb	1.16E+00	1.606851171	1.06E-03	5.47E-03		Fcnb	1.196630741	0.615548522	3.688929529	3.174116787	4.991912399	3.937559385	3.730345824					
Csrp2	6.97E-01	2.371528614	1.06E-03	5.47E-03		Csrp2	5.038445226	2.8315232	3.818365653	5.615745084	6.398084906	6.273399697	6.261651918					
Ube2v1	2.26E-01	7.135452528	1.06E-03	5.47E-03		Ube2v1	135.9750406	127.7878731	127.1709917	141.5534005	156.507	143.4205952	151.2122325					
Dhdh	6.06E-01	2.679459874	1.06E-03	5.47E-03		Dhdh	5.353348053	4.924388174	4.789136581	6.470314988	7.804257412	8.142071948	7.394078329					
Slc44a1	3.83E-01	4.653511742	1.06E-03	5.48E-03		Slc44a1	21.66531447	22.22130164	21.48639655	25.33189359	31.99042453	28.09682205	25.37967426					
Usp39	2.74E-01	5.873429713	1.07E-03	5.49E-03		Usp39	54.10030562	49.61321085	56.17527774	60.43030036	64.82455256	60.33141837	64.74814537					
Arrdc2	-3.62E-01	4.779261096	1.07E-03	5.49E-03		Arrdc2	33.19075793	32.5625168	30.09389879	25.51501571	25.17048787	24.02578608	21.78255508					
Vps54	2.32E-01	6.779630061	1.07E-03	5.50E-03		Vps54	102.5323604	106.4283394	95.78273163	113.9630008	115.0952197	114.7898668	119.9705862					
Myl9	-8.21E-01	1.823417064	1.07E-03	5.51E-03		Myl9	4.345659008	3.816400835	6.148215882	2.014343345	3.796665768	2.202363724	2.531306095					
Pf4	-7.59E-01	1.941301767	1.07E-03	5.52E-03		Pf4	4.282678443	4.616613913	6.342370067	2.502669005	3.937283019	2.936484965	2.33146614					
Soat1	-2.53E-01	6.329086371	1.08E-03	5.56E-03		Soat1	82.06367663	90.6087424	97.59483736	75.99568076	71.22263746	74.68015172	71.14302392					
Atp5h	2.32E-01	6.770671514	1.08E-03	5.56E-03		Atp5h	96.73814835	100.2728542	106.0081854	112.4369831	121.1417615	110.6520925	116.7731469					
Cryba4	1.14E+00	0.285969452	1.08E-03	5.56E-03		Cryba4	0.629805653	1.107987339	0.453026433	1.281854856	2.320184636	1.401504188	1.398879684					
Rpl7a	2.08E-01	9.7838947	1.09E-03	5.57E-03		Rpl7a	822.4002221	798.9819812	849.3598445	905.8440984	946.8462574	907.3738541	934.8513087					
Tanc1	-7.52E-01	1.636419326	1.09E-03	5.57E-03		Tanc1	3.400950528	4.124175096	4.789136581	2.258506175	2.390493261	2.135625429	2.664532731					
Slc20a1	-2.14E-01	7.216891133	1.09E-03	5.57E-03		Slc20a1	162.9307225	160.9659384	168.8494235	137.0974289	137.3127453	138.3484848	136.7571424					
Sgip1	-1.11E+00	0.156291306	1.09E-03	5.57E-03		Sgip1	1.322591872	1.538871304	2.006259919	0.610407074	1.124938005	0.667382947	0.532906546					
Map3k2	-2.27E-01	7.014163878	1.09E-03	5.59E-03		Map3k2	143.5327084	145.5156705	141.085375	121.7762113	115.1655283	125.6014705	112.8429612					
Lmnb2	3.34E-01	5.188047205	1.09E-03	5.60E-03		Lmnb2	31.30134097	32.07007798	33.45923801	36.44130234	42.4664097	36.50584718	42.89897697					
Nlk	-2.65E-01	5.953910758	1.09E-03	5.60E-03		Nlk	74.00216426	68.07966651	66.98319408	56.88993933	55.12196226	57.99557805	55.08921422					
Erp29	2.29E-01	7.256971143	1.10E-03	5.63E-03		Erp29	148.949037	138.9908562	136.7492648	154.9213155	173.9435391	159.8382157	156.6079113					
Leprotl1	-2.62E-01	6.038397955	1.11E-03	5.66E-03		Leprotl1	70.97909713	73.68115805	76.94977561	62.32256229	59.76233154	61.06553961	55.68873408					
Rev1	3.15E-01	5.350484576	1.11E-03	5.66E-03		Rev1	37.85131976	35.82492397	35.59493405	40.46998903	43.09918733	45.31530207	47.29545598					
Pik3cb	-3.81E-01	4.653025754	1.11E-03	5.67E-03		Pik3cb	26.07395405	31.57763917	30.74107941	22.21881751	24.32678437	20.48865646	20.91658194					
Arhgap29	-7.52E-01	2.144704201	1.11E-03	5.69E-03		Arhgap29	4.597581269	7.325027409	5.565753324	3.296198202	3.726357143	4.204512563	2.264852822					
Ttn	7.88E-01	2.994037247	1.11E-03	5.69E-03		Ttn	6.424017664	5.847710957	4.918572705	8.606739749	7.452714286	6.807306055	15.58751648					
Axin2	-4.59E-01	4.000915912	1.12E-03	5.73E-03		Axin2	16.56388868	21.72886282	19.41541857	12.81854856	14.76481132	13.81482699	13.1228237					
Cadm3	-8.36E-01	1.415289	1.12E-03	5.73E-03		Cadm3	3.967775616	3.508626574	3.365339219	2.807872542	2.10925876	1.735195661	1.132426411					
Gp9	-8.72E-01	1.30259736	1.13E-03	5.76E-03		Gp9	2.267300352	3.262407165	4.594982396	1.403936271	2.10925876	1.86867225	1.798559594					
Cort	7.03E-01	1.968620324	1.13E-03	5.78E-03		Cort	3.149028267	2.769968348	2.912312786	4.944297302	4.148208895	4.73841892	4.729545598					
Osbpl6	-9.16E-01	0.661184528	1.14E-03	5.80E-03		Osbpl6	2.078358656	2.400639235	2.070977981	1.159773441	0.984320755	1.067812714	1.265653047					
Mrpl13	3.82E-01	4.663384548	1.14E-03	5.83E-03		Mrpl13	22.29512013	20.37465607	23.29850229	26.79687057	30.5139434	24.75990732	29.30986004					
Mrpl30	3.05E-01	5.355220421	1.15E-03	5.84E-03		Mrpl30	36.52872789	35.45559485	38.24837459	44.55971643	44.78659434	44.58118083	42.23284379					
Slc44a2	-2.14E-01	9.010409282	1.15E-03	5.84E-03		Slc44a2	555.4256057	595.1123108	558.7757465	500.2896382	456.6545216	484.9871872	462.5628821					
Man1a	2.22E-01	8.425329895	1.15E-03	5.84E-03		Man1a	299.2206659	327.9026975	331.0328867	351.1671899	349.8557197	374.0014032	371.3692494					
Fam19a3	-1.03E+00	0.423073318	1.15E-03	5.85E-03		Fam19a3	1.511533568	2.523748939	1.68266961	0.915610612	0.984320755	0.600644652	1.132426411					
Cfl1	2.14E-01	10.14531277	1.16E-03	5.89E-03		Cfl1	1109.654581	1037.937917	1015.620546	1159.346156	1251.56384	1146.029996	1199.905702					
Dgat2	-7.41E-01	2.428003471	1.16E-03	5.89E-03		Dgat2	4.534600704	8.556124452	8.219193863	4.76117518	3.16388814	4.73841892	3.730345824					
Atp6v0a1	2.30E-01	6.725167086	1.16E-03	5.90E-03		Atp6v0a1	98.06074022	97.62599555	97.91842767	106.2108309	119.3137372	111.5864287	109.5789086					
Nsdhl	4.52E-01	4.047362081	1.17E-03	5.92E-03		Nsdhl	14.10764663	12.8649641	14.75571812	17.70180516	21.3738221	16.75131196	18.18543589					
Ppp1ca	2.14E-01	8.556284792	1.17E-03	5.93E-03		Ppp1ca	356.5329803	344.3378431	351.1602039	386.814963	411.7976186	385.6138665	396.7489237					
Gdap2	3.58E-01	4.71732132	1.17E-03	5.93E-03		Gdap2	22.73598408	23.20617927	23.23378423	28.50601037	30.86548652	28.09682205	27.44468713					
Plekhg3	-3.91E-01	4.478296864	1.17E-03	5.93E-03		Plekhg3	26.32587631	25.29904424	27.11686794	22.34089892	17.78808221	19.88801181	17.31946275					
Sh3rf1	5.36E-01	3.459187088	1.17E-03	5.93E-03		Sh3rf1	9.761987626	8.925453565	8.089757739	14.03936271	11.03845418	11.47898668	13.52250361					
Nr3c2	-9.22E-01	0.996599363	1.17E-03	5.93E-03		Nr3c2	2.456242048	3.816400835	2.006259919	1.648099101	0.914012129	1.468242482	1.598719639					
Prrc1	2.63E-01	5.937510189	1.18E-03	5.97E-03		Prrc1	58.19404237	55.83025092	53.78070945	63.36025432	69.1133787	64.33571605	64.21523882					
Map3k3	-2.23E-01	7.135241359	1.18E-03	5.97E-03		Map3k3	155.184113	159.5501768	152.5404719	135.5714112	125.360279	135.1450467	121.4360792					
Atp8a2	-8.73E-01	1.054676553	1.18E-03	5.98E-03		Atp8a2	2.897106005	3.323962017	2.265132167	1.220814149	1.406172507	2.00214884	1.398879684					
Ccdc134	3.29E-01	5.650203898	1.19E-03	6.01E-03		Ccdc134	52.71473318	41.91885433	38.96027327	52.4950084	57.23122102	50.65436564	57.2208404					
Ikbkb	-2.29E-01	8.256229908	1.19E-03	6.02E-03		Ikbkb	360.500756	339.2287903	318.9306091	298.0007337	268.6492574	289.0435541	267.7855395					
Gm8989	3.41E-01	5.090578764	1.19E-03	6.03E-03		Gm8989	29.53788514	29.42321934	31.51769615	40.77519257	34.66215229	36.83953865	35.50489864					
Itga5	-5.66E-01	3.753980798	1.19E-03	6.03E-03		Itga5	12.97399646	16.49670038	21.09808818	12.14710078	13.28833019	8.876193189	9.792157787					
4921513D23Rik	-2.15E-01	7.791320186	1.20E-03	6.04E-03		4921513D23Rik	235.6732755	245.6038602	252.982904	207.2942425	199.2546442	209.1578154	202.2380343					
Trem3	-7.97E-01	2.712618211	1.20E-03	6.05E-03		Trem3	4.912484096	9.725666644	11.84340533	6.104070744	4.148208895	5.806231635	3.463892551					
Magoh	3.09E-01	5.368798222	1.20E-03	6.07E-03		Magoh	35.52103885	35.08626574	40.51350676	44.43763501	45.70060647	43.78032129	44.0980167					
Nbas	2.69E-01	5.716672609	1.21E-03	6.08E-03		Nbas	47.17244343	47.52034588	48.99157287	54.08206679	59.12955391	54.85887821	56.28825395					
Zfp871	-2.13E-01	8.25723825	1.21E-03	6.08E-03		Zfp871	322.3975139	341.9372038	349.2186621	291.7745816	273.0083922	284.8390416	280.8417499					
Slc28a2	-2.27E-01	7.898032222	1.21E-03	6.08E-03		Slc28a2	282.3418744	257.5455015	253.8889569	221.0284016	210.2930984	230.2471166	215.7605379					
Ing4	-2.45E-01	6.18229954	1.21E-03	6.10E-03		Ing4	81.9377155	79.59042386	81.67419413	67.08373747	64.96516981	68.54022861	64.88137201					
Cdc123	2.68E-01	5.918606203	1.22E-03	6.14E-03		Cdc123	55.10799466	54.59915388	55.52809712	60.67446319	69.67584771	60.66510984	67.07961151					
Zdhhc21	2.50E-01	6.091981321	1.22E-03	6.14E-03		Zdhhc21	60.65028441	63.89393656	63.42370067	71.72283124	72.76942722	72.54452629	72.27545033					
Ccpg1	-2.75E-01	6.720527001	1.22E-03	6.15E-03		Ccpg1	99.63525435	128.4649765	128.9183793	93.5754045	101.4553464	98.97289097	88.32926004					
