Gene	BXSB_B6_Y1_GES12_52056	Gene	BXSB_B6_Y2_GES12_52057	Gene	BXSB_B6_Y3_GES12_52058	Gene	BXSB_Yaa1_GES12_52059	Gene	BXSB_Yaa2_GES12_52060	Gene	BXSB_Yaa3_GES12_52061	Gene	BXSB_Yaa4_GES12_52062
1110004F10Rik	1164	1110004F10Rik	1262	1110004F10Rik	1190	1110004F10Rik	1341	1110004F10Rik	1218	1110004F10Rik	1173	1110004F10Rik	1205
1110005A03Rik	671	1110005A03Rik	713	1110005A03Rik	641	1110005A03Rik	585	1110005A03Rik	502	1110005A03Rik	525	1110005A03Rik	514
1110006O24Rik	28	1110006O24Rik	25	1110006O24Rik	13	1110006O24Rik	21	1110006O24Rik	18	1110006O24Rik	23	1110006O24Rik	20
1110007C09Rik	315	1110007C09Rik	354	1110007C09Rik	320	1110007C09Rik	272	1110007C09Rik	206	1110007C09Rik	212	1110007C09Rik	179
1110008F13Rik	272	1110008F13Rik	353	1110008F13Rik	326	1110008F13Rik	359	1110008F13Rik	304	1110008F13Rik	330	1110008F13Rik	301
1110008J03Rik	96	1110008J03Rik	100	1110008J03Rik	93	1110008J03Rik	84	1110008J03Rik	91	1110008J03Rik	98	1110008J03Rik	81
1110008L16Rik	179	1110008L16Rik	217	1110008L16Rik	198	1110008L16Rik	209	1110008L16Rik	206	1110008L16Rik	180	1110008L16Rik	221
1110008P14Rik	219	1110008P14Rik	242	1110008P14Rik	242	1110008P14Rik	287	1110008P14Rik	289	1110008P14Rik	278	1110008P14Rik	258
1110012D08Rik	220	1110012D08Rik	213	1110012D08Rik	168	1110012D08Rik	177	1110012D08Rik	160	1110012D08Rik	180	1110012D08Rik	172
1110012J17Rik	0	1110012J17Rik	2	1110012J17Rik	0	1110012J17Rik	0	1110012J17Rik	0	1110012J17Rik	1	1110012J17Rik	0
1110012L19Rik	142	1110012L19Rik	139	1110012L19Rik	160	1110012L19Rik	156	1110012L19Rik	138	1110012L19Rik	137	1110012L19Rik	146
1110014N23Rik	967	1110014N23Rik	1043	1110014N23Rik	894	1110014N23Rik	1013	1110014N23Rik	779	1110014N23Rik	861	1110014N23Rik	815
1110017D15Rik	0	1110017D15Rik	0	1110017D15Rik	1	1110017D15Rik	1	1110017D15Rik	0	1110017D15Rik	2	1110017D15Rik	2
1110017F19Rik	31	1110017F19Rik	28	1110017F19Rik	40	1110017F19Rik	18	1110017F19Rik	22	1110017F19Rik	23	1110017F19Rik	27
1110018G07Rik	2003	1110018G07Rik	1939	1110018G07Rik	1948	1110018G07Rik	2276	1110018G07Rik	2002	1110018G07Rik	2103	1110018G07Rik	2067
1110018J18Rik	249	1110018J18Rik	247	1110018J18Rik	251	1110018J18Rik	225	1110018J18Rik	192	1110018J18Rik	194	1110018J18Rik	222
1110020A21Rik	11	1110020A21Rik	16	1110020A21Rik	16	1110020A21Rik	7	1110020A21Rik	12	1110020A21Rik	11	1110020A21Rik	18
1110020G09Rik	418	1110020G09Rik	473	1110020G09Rik	590	1110020G09Rik	398	1110020G09Rik	471	1110020G09Rik	454	1110020G09Rik	458
1110021J02Rik	960	1110021J02Rik	972	1110021J02Rik	926	1110021J02Rik	963	1110021J02Rik	857	1110021J02Rik	855	1110021J02Rik	875
1110021L09Rik	11	1110021L09Rik	18	1110021L09Rik	10	1110021L09Rik	7	1110021L09Rik	12	1110021L09Rik	5	1110021L09Rik	7
1110028C15Rik	535	1110028C15Rik	551	1110028C15Rik	484	1110028C15Rik	464	1110028C15Rik	385	1110028C15Rik	388	1110028C15Rik	415
1110031I02Rik	107	1110031I02Rik	88	1110031I02Rik	87	1110031I02Rik	113	1110031I02Rik	134	1110031I02Rik	140	1110031I02Rik	101
1110032A03Rik	116	1110032A03Rik	139	1110032A03Rik	129	1110032A03Rik	118	1110032A03Rik	139	1110032A03Rik	107	1110032A03Rik	118
1110032A04Rik	0	1110032A04Rik	0	1110032A04Rik	0	1110032A04Rik	0	1110032A04Rik	0	1110032A04Rik	0	1110032A04Rik	0
